person_id,arrest_date,arrest_id,law_code
1588,2008-01-01,8a2475f7,felony
1958,2008-01-01,c664966a,felony
2091,2008-01-01,c19a08f3,misdemeanor
3716,2008-01-01,c4116497,misdemeanor
3942,2008-01-01,ef65d2af,felony
4063,2008-01-01,93639ade,felony
5713,2008-01-01,da4da505,misdemeanor
6169,2008-01-01,4dfacdc7,misdemeanor
6509,2008-01-01,27ef5dd3,misdemeanor
7426,2008-01-01,b520f85e,felony
8193,2008-01-01,e94d1092,misdemeanor
8519,2008-01-01,e37095b0,misdemeanor
10209,2008-01-01,04bbe5b0,felony
10815,2008-01-01,2ae35b7d,felony
11379,2008-01-01,06efc0d9,felony
11603,2008-01-01,6511337e,misdemeanor
11718,2008-01-01,44db9d01,misdemeanor
12109,2008-01-01,9308a618,felony
12467,2008-01-01,d709faf7,misdemeanor
14146,2008-01-01,b6629bfe,misdemeanor
14812,2008-01-01,3e6e5ead,misdemeanor
16080,2008-01-01,3d69da84,misdemeanor
17343,2008-01-01,ade38063,misdemeanor
18336,2008-01-01,475891b5,misdemeanor
18508,2008-01-01,30f928b9,misdemeanor
18510,2008-01-01,70e9829f,misdemeanor
18697,2008-01-01,4703b5d5,misdemeanor
19044,2008-01-01,ed3b3604,misdemeanor
19272,2008-01-01,73a597d5,misdemeanor
19485,2008-01-01,f9a5164e,misdemeanor
19511,2008-01-01,5129907c,misdemeanor
19546,2008-01-01,24bcf3eb,misdemeanor
19634,2008-01-01,e2d01c88,misdemeanor
385,2008-01-02,58784705,misdemeanor
670,2008-01-02,c0fbacc3,misdemeanor
856,2008-01-02,94fe0833,misdemeanor
1764,2008-01-02,e7403502,misdemeanor
2405,2008-01-02,693a6d78,misdemeanor
2437,2008-01-02,a66b457b,felony
2767,2008-01-02,13be19fb,misdemeanor
2827,2008-01-02,59960f2e,felony
2894,2008-01-02,be6e9be4,misdemeanor
4303,2008-01-02,e5c4d379,felony
4430,2008-01-02,f86c45ff,misdemeanor
4542,2008-01-02,de71df73,misdemeanor
5690,2008-01-02,497605c4,misdemeanor
5885,2008-01-02,409e0e71,misdemeanor
7192,2008-01-02,17fed59d,misdemeanor
8046,2008-01-02,f008e140,misdemeanor
8493,2008-01-02,f01b22e2,misdemeanor
8924,2008-01-02,91c03a47,misdemeanor
9095,2008-01-02,e2b6fcc7,misdemeanor
9353,2008-01-02,55e7fd15,misdemeanor
9470,2008-01-02,1813395c,misdemeanor
9830,2008-01-02,0032af50,misdemeanor
9962,2008-01-02,5732fe51,misdemeanor
9964,2008-01-02,eecf9d79,felony
10097,2008-01-02,26a0e2c5,misdemeanor
10369,2008-01-02,a32fb2a1,felony
10927,2008-01-02,0b992d00,felony
11624,2008-01-02,ed5110ab,felony
11760,2008-01-02,4379e6a3,felony
12614,2008-01-02,683dfed6,felony
13129,2008-01-02,70942c94,felony
14334,2008-01-02,73ee4a6d,misdemeanor
14719,2008-01-02,449d9bdb,misdemeanor
15452,2008-01-02,8237a44b,misdemeanor
15961,2008-01-02,47818ef0,misdemeanor
16018,2008-01-02,3ec29bba,misdemeanor
16036,2008-01-02,f3a4415b,misdemeanor
17134,2008-01-02,85dccbc0,felony
17559,2008-01-02,bf727e5c,misdemeanor
18239,2008-01-02,2ef61c09,misdemeanor
19882,2008-01-02,4b175146,misdemeanor
19974,2008-01-02,e95e0069,misdemeanor
928,2008-01-03,95789cdd,misdemeanor
1004,2008-01-03,015d8ea3,misdemeanor
1688,2008-01-03,44935637,misdemeanor
2512,2008-01-03,d782fb96,felony
3099,2008-01-03,668f5d43,misdemeanor
3295,2008-01-03,207e2029,felony
3571,2008-01-03,1fbc6d56,misdemeanor
4916,2008-01-03,159b671c,misdemeanor
6708,2008-01-03,0d6e8491,felony
9630,2008-01-03,975bf4ea,felony
9773,2008-01-03,fee91906,misdemeanor
10421,2008-01-03,747eab57,misdemeanor
10940,2008-01-03,bebb75fb,misdemeanor
11019,2008-01-03,60ecd445,misdemeanor
11512,2008-01-03,c509b21c,felony
11928,2008-01-03,2f7e5099,misdemeanor
12944,2008-01-03,e7d52223,misdemeanor
13073,2008-01-03,e1b261c8,misdemeanor
13805,2008-01-03,65d4217b,misdemeanor
14366,2008-01-03,bd1df07c,misdemeanor
15365,2008-01-03,f9b181b8,misdemeanor
15825,2008-01-03,14bfa4d8,misdemeanor
16291,2008-01-03,50a375d1,felony
16392,2008-01-03,9577de89,misdemeanor
16927,2008-01-03,5e6861d9,felony
18439,2008-01-03,3209f576,misdemeanor
245,2008-01-04,0c571faf,misdemeanor
1674,2008-01-04,64f0bb8e,felony
2140,2008-01-04,7135c3a7,felony
2279,2008-01-04,77740678,misdemeanor
3860,2008-01-04,c1b5aec3,misdemeanor
4078,2008-01-04,fb123b0d,misdemeanor
6128,2008-01-04,12459832,felony
6999,2008-01-04,40d1c4cc,misdemeanor
7667,2008-01-04,0b5e2ed4,misdemeanor
7781,2008-01-04,de8b9849,misdemeanor
9916,2008-01-04,6485cf11,misdemeanor
11071,2008-01-04,c1489d69,misdemeanor
11279,2008-01-04,b03a67ed,misdemeanor
11529,2008-01-04,60c5a3b5,misdemeanor
12058,2008-01-04,102af1f9,felony
12456,2008-01-04,38363587,misdemeanor
13127,2008-01-04,7dc4ac11,felony
13347,2008-01-04,0da77325,misdemeanor
13803,2008-01-04,1fce737e,misdemeanor
13880,2008-01-04,84949c69,misdemeanor
14932,2008-01-04,2990f2aa,misdemeanor
15389,2008-01-04,788196e8,misdemeanor
16080,2008-01-04,99689b87,misdemeanor
17805,2008-01-04,0f43e9c2,misdemeanor
17842,2008-01-04,ee054389,misdemeanor
19109,2008-01-04,6a0c8797,misdemeanor
1125,2008-01-05,648ea90f,misdemeanor
2332,2008-01-05,fcda5242,felony
2419,2008-01-05,78a81c29,felony
2707,2008-01-05,917dfbe7,misdemeanor
3142,2008-01-05,7c418149,misdemeanor
3775,2008-01-05,3f563977,misdemeanor
4513,2008-01-05,9b2d92b6,felony
4740,2008-01-05,c961f630,misdemeanor
5093,2008-01-05,ef9245b5,felony
5436,2008-01-05,f8f1c39e,misdemeanor
6067,2008-01-05,27e7453c,misdemeanor
6318,2008-01-05,4ce705da,felony
7080,2008-01-05,9de451c3,felony
7915,2008-01-05,484a9b63,misdemeanor
8024,2008-01-05,37b8031f,misdemeanor
8034,2008-01-05,667f6f50,misdemeanor
8211,2008-01-05,d22c7bfb,misdemeanor
8629,2008-01-05,641df80a,felony
8903,2008-01-05,1f003b52,misdemeanor
9113,2008-01-05,fcdbbbfa,misdemeanor
9638,2008-01-05,48724691,misdemeanor
9954,2008-01-05,421d4338,misdemeanor
9999,2008-01-05,bafcf63c,misdemeanor
11937,2008-01-05,901e12b3,misdemeanor
15184,2008-01-05,3e805163,misdemeanor
16413,2008-01-05,13a16cde,misdemeanor
17121,2008-01-05,ba0606f9,misdemeanor
17420,2008-01-05,9c5b654d,misdemeanor
17705,2008-01-05,21839454,felony
18000,2008-01-05,03244603,misdemeanor
18206,2008-01-05,a0053740,misdemeanor
18356,2008-01-05,049f529e,misdemeanor
517,2008-01-06,ca77afc8,misdemeanor
902,2008-01-06,2fae0dd1,felony
1013,2008-01-06,2c90ca2e,misdemeanor
1130,2008-01-06,c70318c9,misdemeanor
1259,2008-01-06,cf9467aa,felony
2140,2008-01-06,08ec50bb,misdemeanor
2982,2008-01-06,58bf535c,misdemeanor
3244,2008-01-06,4f3bdb4e,misdemeanor
4864,2008-01-06,74beb50c,misdemeanor
4953,2008-01-06,d0d32617,misdemeanor
5125,2008-01-06,66393fd0,misdemeanor
5168,2008-01-06,eb9a9341,misdemeanor
6332,2008-01-06,c4542308,felony
7733,2008-01-06,ace13f85,misdemeanor
10040,2008-01-06,71c50517,misdemeanor
10217,2008-01-06,5fb87e99,misdemeanor
10308,2008-01-06,050bab37,misdemeanor
12092,2008-01-06,fbb28a0c,misdemeanor
12239,2008-01-06,4ca5e619,misdemeanor
12693,2008-01-06,3eae7434,misdemeanor
13636,2008-01-06,84d271fc,misdemeanor
14989,2008-01-06,f714e482,felony
15324,2008-01-06,6405b53a,misdemeanor
15469,2008-01-06,6a20d903,misdemeanor
16767,2008-01-06,8db12c1a,misdemeanor
17338,2008-01-06,6f043748,misdemeanor
19474,2008-01-06,b7da160e,misdemeanor
19485,2008-01-06,ff09d865,misdemeanor
19725,2008-01-06,7408148f,misdemeanor
1530,2008-01-07,5cc3b5b2,felony
1780,2008-01-07,694f6b85,misdemeanor
1976,2008-01-07,c6a117c5,misdemeanor
2822,2008-01-07,06fc3869,felony
3410,2008-01-07,6a2fb1b9,misdemeanor
3783,2008-01-07,2eb3e3a5,misdemeanor
3860,2008-01-07,5e24a96d,misdemeanor
5164,2008-01-07,93390e55,misdemeanor
5721,2008-01-07,7d3ed94f,misdemeanor
6558,2008-01-07,d938b684,misdemeanor
7666,2008-01-07,2b232567,felony
9767,2008-01-07,d257a22f,misdemeanor
10737,2008-01-07,a5346c5e,felony
10924,2008-01-07,291499e8,misdemeanor
11173,2008-01-07,5faa38bb,misdemeanor
13266,2008-01-07,eb22aade,felony
13835,2008-01-07,849b2944,misdemeanor
14040,2008-01-07,ce472b45,misdemeanor
14491,2008-01-07,e944c9cf,misdemeanor
14925,2008-01-07,e426c61a,misdemeanor
15740,2008-01-07,354c72ea,misdemeanor
16915,2008-01-07,c68bd001,felony
17142,2008-01-07,3825a569,misdemeanor
18212,2008-01-07,7d3c2fc6,misdemeanor
19223,2008-01-07,e437ffac,misdemeanor
19408,2008-01-07,14da8999,felony
19567,2008-01-07,5a6833cb,felony
1100,2008-01-08,45789ee8,felony
1561,2008-01-08,717ab9c2,misdemeanor
2653,2008-01-08,59a2bb30,misdemeanor
2764,2008-01-08,55ce5183,felony
2798,2008-01-08,0d239e57,misdemeanor
3279,2008-01-08,20ee02e8,felony
3647,2008-01-08,b7ee9bc2,misdemeanor
3752,2008-01-08,ec990f28,misdemeanor
5091,2008-01-08,873bb6d6,misdemeanor
6716,2008-01-08,cb230559,misdemeanor
6915,2008-01-08,9f7332e1,misdemeanor
7549,2008-01-08,7595b8fd,felony
8537,2008-01-08,f7b782bc,misdemeanor
8922,2008-01-08,918c7fb8,misdemeanor
10151,2008-01-08,60e95904,misdemeanor
10763,2008-01-08,482dea6e,misdemeanor
12041,2008-01-08,cdb89887,misdemeanor
12138,2008-01-08,d7cd5ea7,misdemeanor
12932,2008-01-08,9d89cc24,misdemeanor
13799,2008-01-08,b74531f9,felony
14644,2008-01-08,c346cfb9,misdemeanor
15175,2008-01-08,fcef380b,felony
17127,2008-01-08,2581ec8a,felony
17186,2008-01-08,abcaf521,felony
17576,2008-01-08,728c020e,misdemeanor
17745,2008-01-08,ed8c96c8,misdemeanor
18054,2008-01-08,e7c4dc3a,misdemeanor
19117,2008-01-08,3b60a191,misdemeanor
424,2008-01-09,54245abb,felony
1066,2008-01-09,dba5c619,misdemeanor
4692,2008-01-09,7067b14c,misdemeanor
8261,2008-01-09,5474ac59,misdemeanor
8574,2008-01-09,ea7e01f0,misdemeanor
10695,2008-01-09,04707246,misdemeanor
10961,2008-01-09,0bc9fb40,misdemeanor
13307,2008-01-09,382d0985,misdemeanor
14341,2008-01-09,6520274f,misdemeanor
15803,2008-01-09,7fe9b2ba,misdemeanor
16280,2008-01-09,51712141,misdemeanor
16538,2008-01-09,92abab4a,misdemeanor
17305,2008-01-09,ab834b60,misdemeanor
17987,2008-01-09,c317c593,misdemeanor
18807,2008-01-09,646cb283,misdemeanor
1278,2008-01-10,7f4ccd57,misdemeanor
1305,2008-01-10,1aa03a67,misdemeanor
1660,2008-01-10,00f9a72e,felony
1824,2008-01-10,40a0812e,misdemeanor
1922,2008-01-10,61226f81,felony
2715,2008-01-10,76cd8e80,misdemeanor
3537,2008-01-10,da37bcea,misdemeanor
3966,2008-01-10,3a932592,misdemeanor
4815,2008-01-10,cdef7770,misdemeanor
7885,2008-01-10,37a1e59a,misdemeanor
8305,2008-01-10,cc22d83a,felony
10357,2008-01-10,aabec21f,misdemeanor
10571,2008-01-10,55334e50,misdemeanor
10949,2008-01-10,f21a36b5,misdemeanor
11055,2008-01-10,acfe5b73,felony
11282,2008-01-10,9249f0fd,misdemeanor
11532,2008-01-10,d0ad4137,misdemeanor
12670,2008-01-10,13d6391b,felony
13005,2008-01-10,22407f3b,misdemeanor
13880,2008-01-10,358efdae,felony
14444,2008-01-10,fb65f43f,misdemeanor
15229,2008-01-10,c8e8e0ca,misdemeanor
16176,2008-01-10,34a7f227,misdemeanor
17913,2008-01-10,b1dbab62,felony
19076,2008-01-10,50b05c95,misdemeanor
19743,2008-01-10,ba379c79,misdemeanor
19774,2008-01-10,5527c715,misdemeanor
242,2008-01-11,42df2ffa,misdemeanor
243,2008-01-11,e6f1287a,felony
564,2008-01-11,91c6ff29,felony
1596,2008-01-11,954e0739,misdemeanor
1938,2008-01-11,134ad20c,misdemeanor
2419,2008-01-11,4b996aa1,misdemeanor
2657,2008-01-11,cba91856,misdemeanor
3042,2008-01-11,91d5f29b,misdemeanor
