person_id,gender,bdate,home_precinct
1,F,1985-07-03,73
5,M,1986-09-27,31
6,M,1991-06-07,48
7,F,1994-08-24,8
8,M,1978-04-04,63
9,F,1994-07-11,66
10,M,1984-12-30,26
11,M,1987-09-13,56
12,F,1984-12-22,42
13,M,1963-04-27,46
14,M,1988-10-02,58
15,M,1971-09-27,37
16,M,1975-11-19,44
17,M,1982-11-18,2
18,M,1974-07-09,26
19,M,1987-01-04,53
21,M,1985-10-17,53
24,M,1983-06-23,9
25,M,1985-06-30,60
26,M,1983-11-20,53
27,F,1978-08-23,26
28,M,1984-08-25,60
29,M,1986-08-23,42
30,M,1980-12-10,2
31,F,1987-08-15,47
32,M,1981-06-18,56
33,F,1980-10-31,58
35,M,1989-08-21,47
38,M,1985-09-04,56
40,F,1986-10-16,76
42,male,1984-04-24,26
43,M,1970-08-26,60
45,M,1989-04-19,8
46,M,1988-09-25,19
47,male,1960-04-03,19
48,M,1987-08-24,32
51,M,1985-01-28,60
52,M,1985-10-17,35
53,M,1988-06-30,66
54,M,1980-01-13,28
57,M,1966-10-29,57
58,M,1977-02-18,11
59,F,1975-09-20,27
63,M,1977-12-18,70
64,M,1979-10-07,26
65,M,1983-02-20,70
66,M,1987-12-23,69
67,M,1979-07-14,17
69,M,1986-11-13,77
70,M,1980-08-31,32
71,M,1985-10-26,65
72,M,1991-07-25,62
73,M,1990-11-17,32
74,M,1970-08-03,64
75,M,1993-10-22,64
76,M,1991-02-24,12
77,male,1979-12-18,34
79,M,1970-09-05,48
80,male,1989-05-15,70
82,female,1993-07-17,47
83,M,1989-04-20,32
84,M,1984-07-16,26
85,M,1983-03-29,56
86,F,1990-08-26,13
87,M,1973-08-18,65
88,M,1984-05-02,35
89,F,1980-11-09,50
90,M,1982-08-20,57
91,M,1976-10-26,29
92,M,1967-04-05,9
93,M,1979-03-29,67
94,M,1987-07-07,3
95,M,1976-11-25,29
96,M,1976-10-20,46
98,M,1963-07-22,62
100,M,1984-09-07,64
101,M,1990-09-12,7
102,F,1991-02-28,27
103,M,1986-12-22,69
104,M,1984-05-08,68
105,M,1975-08-08,66
107,M,1979-11-23,73
109,M,1960-10-02,60
112,M,1990-07-01,11
113,F,1977-10-24,68
114,F,1992-10-07,44
115,M,1977-12-01,46
116,M,1980-10-03,36
117,M,1956-05-30,65
118,M,1980-03-03,58
119,M,1983-12-05,77
120,M,1981-11-15,66
121,M,1982-07-30,30
122,M,1991-01-31,69
123,M,1992-01-07,39
125,M,1982-11-10,11
126,F,1983-08-05,62
127,M,1984-07-24,36
128,M,1989-03-27,31
129,M,1976-07-06,22
131,M,1993-12-09,49
133,M,1983-09-14,64
134,M,1981-09-22,60
135,M,1989-09-14,62
136,M,1973-11-29,4
138,M,1983-02-28,61
139,M,1977-05-31,34
140,M,1994-08-11,53
141,M,1981-09-10,43
142,M,1988-01-25,63
143,M,1965-10-19,46
145,F,1987-11-26,64
146,M,1992-07-17,55
147,M,1985-05-27,28
149,F,1989-07-31,34
150,M,1989-09-10,48
151,M,1985-04-03,4
152,F,1962-02-09,56
153,male,1989-10-10,49
154,M,1982-10-31,14
155,M,1974-08-06,32
156,F,1984-08-09,73
157,male,1966-09-06,6
158,M,1969-10-19,1
160,M,1969-11-09,39
161,M,1987-05-02,42
163,F,1988-04-01,28
164,M,1964-12-16,65
165,M,1985-11-30,46
166,M,1970-12-12,37
167,M,1994-07-28,49
168,M,1985-05-26,41
170,M,1993-08-30,76
172,M,1991-03-16,69
173,M,1987-01-08,48
174,M,1984-07-06,11
175,F,1991-07-22,53
176,F,1982-07-17,2
177,F,1980-09-04,31
179,F,1990-07-10,63
180,male,1989-02-15,41
181,M,1989-11-18,26
182,M,1980-02-04,53
183,M,1983-02-22,71
186,M,1993-09-20,33
187,F,1986-08-12,58
188,M,1994-09-22,1
189,M,1973-09-07,76
193,M,1983-11-29,57
196,M,1968-10-06,36
197,F,1980-09-29,14
200,M,1989-10-05,65
201,F,1966-01-04,75
202,M,1983-03-07,8
203,M,1984-11-26,14
207,F,1988-09-02,19
208,M,1986-01-28,7
209,M,1970-01-03,28
211,M,1973-11-07,26
212,M,1985-12-05,38
213,M,1991-02-18,58
214,M,1966-11-15,68
215,M,1988-08-22,44
217,F,1989-01-11,18
218,M,1976-03-09,62
219,F,1972-07-09,66
220,M,1986-03-03,71
221,M,1988-11-15,43
222,F,1984-01-19,22
223,M,1983-12-05,77
224,M,1985-03-23,44
225,M,1976-04-13,48
